POINT_ID,BARANGAY_NAME,X,Y,YEAR,FLOOD_RECURRENT
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2010,0
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2011,0
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2012,0
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2013,1
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2014,1
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2015,0
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2016,0
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2017,0
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2018,0
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2019,0
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2020,1
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2021,0
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2022,0
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2023,0
Ubaliw_1,Ubaliw,552612.449896814,1467945.4995892863,2024,1
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2010,0
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2011,0
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2012,0
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2013,1
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2014,1
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2015,0
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2016,0
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2017,0
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2018,0
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2019,0
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2020,1
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2021,0
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2022,0
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2023,0
Ubaliw_2,Ubaliw,551578.4910725467,1469142.7183539467,2024,1
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2010,0
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2011,0
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2012,0
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2013,1
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2014,1
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2015,0
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2016,0
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2017,0
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2018,0
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2019,0
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2020,1
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2021,0
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2022,0
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2023,0
Ubaliw_3,Ubaliw,552856.6928212586,1468669.3938172047,2024,1
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2010,0
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2011,0
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2012,0
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2013,1
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2014,1
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2015,0
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2016,0
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2017,0
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2018,0
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2019,0
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2020,1
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2021,0
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2022,0
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2023,0
Ubaliw_4,Ubaliw,552807.5178732066,1468616.8857755242,2024,1
Ubaliw_5,Ubaliw,552085.985280221,1469063.067529056,2010,0
Ubaliw_5,Ubaliw,552085.985280221,1469063.067529056,2011,0
Ubaliw_5,Ubaliw,552085.985280221,1469063.067529056,2012,0
Ubaliw_5,Ubaliw,552085.985280221,1469063.067529056,2013,1
Ubaliw_5,Ubaliw,552085.985280221,1469063.067529056,2014,1
Ubaliw_5,Ubaliw,552085.985280221,1469063.067529056,2015,0
